,Nr,,Measure package Theme,Measure type,Measure,Measure description,Source of Information ,Timing,Cost/investment,Source of Funding,Owner,Status
10,empty,All,A greener public and private vehicle fleet ,empty,Increasing the share of renewable energy in transport ,"Biofuels: increasing share of biofuels in the volumes of fuel placed on the market, with the aim of meeting the targets set in SL 545.17, which reflect the obligation set out in Article 25 of Directive (EU) 2018/2001.The Government transposed the fuel supplier obligation in S.L. 545.17 by gradually increasing the obligation of biofuel blending on importers of petrol and diesel from 10% in 2020 to 14% in 2030, by energy content, as a share of renewable energy supplied for final consumption in the road transport sector.",NECP p.78,Medium-term             ,empty,EU funding ,Government ,empty
11,empty,All,empty,Strategy ,Transport Master Plan,"The Master Plan is a catalyst to ensure that Malta takes the necessary, coordinated steps in proper transportation planning, identifying the right policy mix of measures whilst ensuring that economic progress and infrastructure development move steadily while managing the effect of transport on the environment, public health, and climate change. The revision will take a comprehensive look at all modes of transport, including inter-modality for both freight and passenger transport. For these purposes, the National Transport Model (NTM) will be updated in order to reflect the current and forecasted economic and social scenarios and to inform policy and provide an integrated transport analysis.",NECP p.82,Short-term                 ,empty,empty,Transport Malta,Ongoing 
12,empty,All,empty,Strategy ,National Transport Model ,"The NTM enables the Government to look at future trends and scenarios concerning options relating to transport policy and investment that would support the transport needs of the islands in the short, medium and long term. The upda ted National Transport Master Plan will go through a public consultation phase concerning objectives and measures followed by an Environmental Report and Appropriate Assessment (Art. 6.4 Directive 92/43/EEC). The measures that are being considered in the process come from two main sources: the 2019 NECP and the 2021 Low Carbon Development Strategy.",NECP p.82,Short-term,empty,empty,Transport Malta,Ongoing
13,empty,All,empty,Strategy ,Air Quality Plan ,"This plan encompasses a range of measures designed to comprehensively address mobility challenges through sectoral initiatives that differentiate between household mobility needs and business operations mobility needs. The measures to be issued for public consultation evolve around encouraging a change in behaviour, including promoting reduced use of private vehicles in conjunction with promoting increased use of environmentally friendly public transportation services such as free public transport, as well as transitioning to cleaner fuels for the vehicle fleet.",NECP p.83,Short-term,empty,empty,ERA,Ongoing 
14,empty,All,A greener public and private vehicle fleet ,empty,Electrification of vehicles ,"key measure in order to reduce emissions from the transport sector. Within this context, the Maltese government is intensifying its ambition from the set levels as outlined in the NECP 2019. It is indicated that the equivalent savings of 65,000 electric vehicles are being considered as part of the array of measures as part of the required 2030 emissions reduction objective in the road transport sector.",NECP p. 84,Short-term ,empty,€50.3 million from Malta’s Recovery and Resilience Fund (RRF) have been allocated over the span of 3 years,Government ,Ongoing 
15,empty,empty,A greener public and private vehicle fleet ,empty,Roll-out of EV Publicly accessible charging points,"Around 6,500 charging points are estimated to be required to be installed by 2030. Such infrastructure will be adequately supporting the uptake of EVs on a national scale. Around 360 charging points are already installed around the Maltese islands. A further 1,200 charging points will be funded through the Cohesion Fund, achieving a total of 1,500 points by 2025.",NECP p.84-85,Short-term,empty,Cohesion fund ,Government ,Ongoing 
16,empty,All,A greener public and private vehicle fleet ,empty,Legislative obligations and incentives for private charging,"By virtue of Legal Notice 134/2020 new non-residential buildings and those undergoing significant renovation and having more than ten parking spaces must include at least one recharging point as defined in Directive 2014/94/EU of the European Parliament and the Council. Moreover according to the Maltese Subsidiary Legislation 623.01, by January 1, 2025, requirements for the installation of a minimum number of recharging points in all non -residential buildings with more than twenty parking spaces will be established.",NECP p.85,Short/Medium-term ,empty,"EU, National funding ",Government ,Ongoing 
17,empty,All,A greener public and private vehicle fleet ,empty,Electrification of Public Transport Fleet,"the Government of Malta has committed to roll-out the electrification of Public Transport Fleet through the replacement and integration of 141 electric buses by 2026 out of which 102 will be financed through Malta’s allocated RRP Funds, with an investment of €34 million. The necessary upgrades to the electricity distribution grid will be carried out in time for the introduction of the 102 buses in 2025.",NECP p.85,Short-term,empty,RRP Funds,Government ,Ongoing 
18,empty,All,A greener public and private vehicle fleet ,empty,Electrification of Public Sector Vehicle Fleet,250 EVs will be introduced as part of the public sector vehicle fleet and improve the efficiency of current operations through the concept of ridesharing between the various ministries and government departments.,NECP p.85 and 86,Short-term ,empty,RRP Funds,Government ,Ongoing 
19,empty,All,A greener public and private vehicle fleet ,empty,Electrification of Vehicles in the services and industry sectors,Malta already provides assistance and supporting measures within the RRF framework as outlined in previous sections and shall continue exploring innovative measures assessing the challenges that are currently hindering significant progress in this regard both from a demand and supply perspective.,NECP p.86,Short/Medium-term ,empty,RRF,Government ,Ongoing 
20,empty,All,A greener public and private vehicle fleet ,empty,Assessment of the Vehicle to Grid systems,"The Government is also supporting the shift to EVs by assessing the technical grid system, where EV owners can contribute directly to the national electricity grid. This technology feasibility of a vehicleto-would allow for transfers of excess electricity in the battery storage with applicable feed-in tariffs.",NECP,Medium-term,empty,empty,Government ,empty
21,empty,All,Increased uptake in sustainable transport modes,empty,National Free Public Transport Service ,"The Government launched free use of public transport for youths and students between 16-20 years old, persons with disability and individuals over the pensionable age in October 2018. As from end 2022, nation-wide free public transport service was provided to all ‘Tal-Linja’ card holders. Complimenting this measure, free school transport is being offered to all state and non-state school students. ",NECP,Short-term ,empty,empty,Government ,Already in place 
22,empty,empty,Increased uptake in sustainable transport modes,empty,Fast passenger ferry link between Malta and Gozo,"A fast-ferry link between Malta and Gozo has been introduced to compliment the conventional ferry services operated by the Gozo Channel. This service has been welcomed by both locals and tourists as it has facilitated commute between the two islands. In fact, during its first year of operation the service has catered for 627,493 passengers (from June 2021 till July 2022) and additional trips covering more hours are seasonally included to suit the demands of its users.",NECP,Short-term,empty,empty,empty,In place
23,empty,All,Increased uptake in sustainable transport modes,empty,Incentivise Active Transportation modalities,"In order to further encourage active modes of transport, the existing  schemes to incentivise  the electrification of vehicles, introduced in 2022 using RRP funds, was also applicable for pedelecs and all Category L vehicles including e-bikes. In 2022, total grants for Category L vehicles amounted to €2,929,091 for a quantity of 1046 vehicles and a total grant value of €360,592.94 for 343 pedelacs.",NECP,Short-term ,empty,RRP funds,Government ,Ongoing
24,empty,All,Increased uptake in sustainable transport modes,Strategy ,National Cycling Strategy including National Cycling Action Plan ,"intended to further support the uptake of cycling in Malta as a sustainable mode of transport. it is intended to encourage cycling by ensuring measures that make our road infrastructure safer for cyclists and, which promote the good employment and better integration of bicycles and pedelecs on our roads.In order to promote and support cycling as a sustainable mode of transport, this Strategy aims to achieve the following strategic goals:  
1. Increase awareness and improve cycling skills throughout the Maltese population; 2. Ensure a connected, cycle-friendly urban environment where cycling infrastructure forms an integral component with an investment of €35 million in new cycling routes; 3. Improve safety conditions; 4. Develop a cycling culture; and 5. Establish strong cooperation networks between all respective stakeholders.",NECP,Short-term,€35mio ,empty,Government ,Ongoing (Phase 1 ) 
25,empty,All,Increased uptake in sustainable transport modes,Infrastructure ,Investment in Active Mobility Infrastructure,create a network of clean urban transport infrastructure (covering 50-60km) connecting various areas of the country in order to further promote a multimodal shift in mobility. the Government will ensure the appropriate infrastructure and safe links for more direct and continuous active mobility routes for persons who opt to walk or cycle as their mode of travel to reach their destinations. The aim is to connect many different localities and landmarks by integrating them with public transport nodes and new proposed mobility hubs.,NECP,Short/Medium-term ,€35 million by 2029,The projected investment will also be integrating the Slow Streets Project by the Local Council Association as parts of these routes can be interlinked and integrated into the general plan.,Government ,"The general map includes active mobility routes across all regions of Malta and will be soon discussed with various stakeholders. The current plan focuses on the  SUMP area which includes the Northern and Southern Areas of the Grand Harbour. It connects busy districts in Sliema and St. Julian’s on the northern side with central localities such as Birkirkara and Qormi. Ultimately, these routes will connect to several principal nodes, such as Valletta and the Airport. On the Southern end, the SUMP will connect Smart City with various towns across Marsa and Zabbar."
26,empty,All,A greener public and private vehicle fleet ,Feasibility study ,Assessment of the potential deployment and usability of hydrogen for transport,"the Government is carrying out a study to assess the potential deployment and usability of hydrogen for transport in Malta covering all modes of transport including road, aviation and maritime.",NECP,empty,empty,empty,Government ,Ongoing 
27,empty,All,Increased efficiency of the current freight transport network ,Infrastructure ,Roads Infrastructure Network Improvements ,"The continuous upgrades of various projects on the TEN-T network aim at reducing congestion at traffic bottlenecks that lead to an increased overall average speed (and consequent reduction in fuel consumption and GHG emissions). The upgrade of this important network node forms part of Malta’s ongoing commitment to improve the quality, efficiency, safety and sustainability of Malta’s land transport infrastructure, and to provide the necessary capacity to overcome existing challenges and meet future requirements. A Road Scheme Upgrade Assessment and a Road Safety Audit demonstrated that this upgrade will sufficiently cater for the requirements of current and future road transport demands.",NECP p.90-93,Short/Medium-term ,empty,empty,Government ,Ongoing 
28,empty,All,Other measures,Strategy ,Sustainable Urban Mobility Plans (SUMP),"The SUMP process includes a thorough dialogue with stakeholders as well as expert consultation and results in a compilation of existing actions, measures and future measures, that together contribute to the overall vision of an improved quality of life and mobility for residents and commuters to the area, and in making the region safer and more attractive to tourists. The measures in the 2022 SUMPS have been categorized under four core pillars: 1. Incentivise alternatives to car use; 2. Transition to cleaner transport; 3. Optimise the (current) transport ecosystem; 4. Optimise provision of goods and joint services.Following the publication of this SUMP, the next steps will focus on implementation (foreseen to take place within 5-10 years) and monitoring. Finally, the intention is to extend this exercise to all the remaining regions of the Maltese Islands.",NECP,Short-term ,empty,EU ,Transport Malta,"Ongoing: The first SUMP in Malta was developed for the city of Valletta and covered the years 2006 -2012.
Building over the achievements of this first SUMP, the Northern and Southern Harbour Regions SUMP has been published in December 2022 and extends over \27 localities surrounding Valletta."
29,empty,All,Other measures,empty,Development of a real-time journey planner,"Public transport in Malta has made significant progress in innovating its user interface and experience. The Malta Public Transport has implemented a real-time journey planner through the ‘Tal-Linja’ Mobile app providing travellers with the possibility of planning all their bus routes and real-time tracking of buses. The current journey planner, whilst not intermodal, has undergone extensive development. The intention is to further develop this to provide a more enhanced experience.",NECP,Short-term,empty,empty,Malta Public Transport ,Ongoing
30,empty,All,Other measures,empty,Urban transport and urban logistics,"The Government is engaging with stakeholders so that a number of services on Maltese roads are not provided in the morning and afternoon peak hours. It is proposed that in view of traffic safety, the reduction of emissions and in order to rationalise traffic flow during peak traffic hours, commercial and heavy vehicles will not be allowed to travel during the peak hours. The expected result of this new approach is the decongestion of streets and roads during peak hours.",NECP,Short/Medium-term ,empty,empty,Government ,empty
31,empty,All,Other measures,empty,Sustainable Multimodal Intelligent Transport Hubs Project,"Ongoing implementation of the 2025 Master Plan relates to a number of measures falling under the Sustainable Multimodal Intelligent Transport Hubs Project known as SMITHs Project. The concept revolves around the identification and the setting up of local transport hubs to provide multi-modal transport services for transport users in lieu of the use of the private personal car. The main objective of the SMITHs is to provide different inter-modal services in conjunction with Public Transport to essentially complete the last mile of one’s journey. Thus, in effect, apart from Public Bus Transport stops in a given local transport hub, one will also find electric car sharing services, pedelec sharing, bicycle sharing, electric motorcycle sharing and scooter sharing. In some localities, especially in maritime towns and villages, maritime public transport is being provided and the service will be extended to other localities due to increased popularity.",NECP,Medium-term ,empty,empty,Transport Malta? ,"In this respect, the work so far has been preparatory in nature in terms of project design, engagement of third party consultancy services and preparation/publication of procurement processes."
32,empty,All,Other measures,empty,`,"Under the SMITHS Project, an Integrated Transport Management System (ITMS) Platform will be bringing together various already-existing operational systems with the aim of providing improved availability and quality of information which can ultimately be used to decrease the level of congestion on the roads and lead to reductions in GHG emissions. The platform will be also supporting the implementation of delegated regulations under Directive 2010/40/EU, whereby accurate data on infrastructure, safety, traffic and travel data should be made available to users such as transport authorities or service providers. The aim is for this platform to be complete by 2023, after which it would be populated with data.",NECP,Short-term,empty,empty,Transport Malta? ,empty
33,empty,empty,Other measures,empty,Permanent Link between Malta and Gozo,The government remains committed in evaluating the feasibility and viability of establishing a permanent link between Malta and Gozo through various studies related to the proposed initiative. These studies will also analyze and consider a range of external elements and circumstances that can influence the realization of this permanent connection between the islands.,NECP,Long-term ,empty,empty,Government ,empty
